iter	Passed	Remaining
0	3	307
1	5	288
2	9	291
3	11	269
4	14	266
5	16	263
6	19	260
7	22	259
8	25	256
9	28	254
10	31	251
11	33	248
12	37	249
13	40	247
14	43	244
15	46	241
16	48	238
17	51	236
18	54	232
19	57	230
20	60	227
21	63	223
22	65	220
23	68	217
24	71	214
25	74	211
26	77	208
27	80	206
28	83	203
29	86	200
30	88	197
31	91	194
32	94	192
33	97	189
34	100	186
35	103	183
36	105	180
37	108	177
38	111	174
39	114	171
40	116	168
41	118	163
42	120	160
43	124	157
44	127	155
45	129	152
46	132	149
47	135	147
48	138	144
49	141	141
50	144	138
51	147	136
52	150	133
53	153	130
54	155	127
55	158	124
56	161	121
57	164	118
58	167	116
59	169	113
60	172	110
61	175	107
62	178	104
63	180	101
64	184	99
65	187	96
66	189	93
67	192	90
68	195	87
69	198	85
70	201	82
71	204	79
72	206	76
73	209	73
74	212	70
75	215	68
76	218	65
77	221	62
78	223	59
79	226	56
80	229	53
81	232	51
82	235	48
83	238	45
84	240	42
85	243	39
86	246	36
87	248	33
88	251	31
89	254	28
90	256	25
91	259	22
92	262	19
93	264	16
94	267	14
95	270	11
96	272	8
97	275	5
98	277	2
99	280	0
